"id";"item_group_id";"title";"link";"price";"online_only";"description";"condition";"product_type";"google_product_category";"image_link";"availability";"quantity";"featured_product";"shipping_weight";"manufacturer";"brand";"mpn";"gtin"
"L-ARGB-100";"L-ARGB";"L-Arginine Base - 100g Pure Powder";"http://www.bulksupplements.com/l-arginine-base.html";"10.96";"y";"L-Arginine is a type of amino acid that does work to promote the health of the skin, joints and muscles.";"new";"BulkSupplements > Products by Goal > Heart Health";"Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements";"http://www.bulksupplements.com/media/catalog/product/b/a/bagresize_206.jpg";"in stock";"811";"no";"0.22 kilograms";"BulkSupplements";"BulkSupplements";"L-ARGB-100";"849720009265"
"L-ARGB-250";"L-ARGB";"L-Arginine Base - 250g Pure Powder";"http://www.bulksupplements.com/l-arginine-base.html";"13.96";"y";"L-Arginine is a type of amino acid that does work to promote the health of the skin, joints and muscles.";"new";"BulkSupplements > Products by Goal > Heart Health";"Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements";"http://www.bulksupplements.com/media/catalog/product/b/a/bagresize_209.jpg";"in stock";"640";"no";"0.55 kilograms";"BulkSupplements";"BulkSupplements";"L-ARGB-250";"849720009272"
"L-ARGB-500";"L-ARGB";"L-Arginine Base - 500g Pure Powder";"http://www.bulksupplements.com/l-arginine-base.html";"19.96";"y";"L-Arginine is a type of amino acid that does work to promote the health of the skin, joints and muscles.";"new";"BulkSupplements > Products by Goal > Heart Health";"Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements";"http://www.bulksupplements.com/media/catalog/product/b/a/bagresize_210.jpg";"in stock";"2226";"no";"1.10 kilograms";"BulkSupplements";"BulkSupplements";"L-ARGB-500";"849720009289"
"L-ARGB-1KG";"L-ARGB";"L-Arginine Base - 1kg Pure Powder";"http://www.bulksupplements.com/l-arginine-base.html";"27.96";"y";"L-Arginine is a type of amino acid that does work to promote the health of the skin, joints and muscles.";"new";"BulkSupplements > Products by Goal > Heart Health";"Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements";"http://www.bulksupplements.com/media/catalog/product/b/a/bagresize_211.jpg";"in stock";"1749";"no";"2.21 kilograms";"BulkSupplements";"BulkSupplements";"L-ARGB-1KG";"849720009296"
"L-ARGB-25KG";"L-ARGB";"L-Arginine Base - 25kg Pure Powder";"http://www.bulksupplements.com/l-arginine-base.html";"295.96";"y";"L-Arginine is a type of amino acid that does work to promote the health of the skin, joints and muscles.";"new";"BulkSupplements > Products by Goal > Heart Health";"Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements";"http://www.bulksupplements.com/media/catalog/product/b/a/bagresize_1_1.jpg";"in stock";"133";"no";"57.42 kilograms";"BulkSupplements";"BulkSupplements";"L-ARGB-25KG";"849720009852"
"L-AAKG-100";"L-AAKG";"L-Arginine a-Ketoglutarate (AAKG) - 100g Pure Powder";"http://www.bulksupplements.com/l-arginine-a-ketoglutarate-aakg.html";"10.96";"y";"L-Arginine Alpha-Ketoglutarate is a 2:1 salt formed from the combination of two parts Arginine and one part Alpha-Ketoglutarate. ";"new";"BulkSupplements > Products by Category > Amino Acids";"Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements";"http://www.bulksupplements.com/media/catalog/product/b/a/bagresize_218.jpg";"in stock";"876";"no";"0.22 kilograms";"BulkSupplements";"BulkSupplements";"L-AAKG-100";"849720004437"
"L-AAKG-250";"L-AAKG";"L-Arginine a-Ketoglutarate (AAKG) - 250g Pure Powder";"http://www.bulksupplements.com/l-arginine-a-ketoglutarate-aakg.html";"13.96";"y";"L-Arginine Alpha-Ketoglutarate is a 2:1 salt formed from the combination of two parts Arginine and one part Alpha-Ketoglutarate. ";"new";"BulkSupplements > Products by Category > Amino Acids";"Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements";"http://www.bulksupplements.com/media/catalog/product/b/a/bagresize_220.jpg";"in stock";"633";"no";"0.55 kilograms";"BulkSupplements";"BulkSupplements";"L-AAKG-250";"849720004444"
"L-AAKG-500";"L-AAKG";"L-Arginine a-Ketoglutarate (AAKG) - 500g Pure Powder";"http://www.bulksupplements.com/l-arginine-a-ketoglutarate-aakg.html";"20.96";"y";"L-Arginine Alpha-Ketoglutarate is a 2:1 salt formed from the combination of two parts Arginine and one part Alpha-Ketoglutarate. ";"new";"BulkSupplements > Products by Category > Amino Acids";"Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements";"http://www.bulksupplements.com/media/catalog/product/b/a/bagresize_221.jpg";"in stock";"874";"no";"1.10 kilograms";"BulkSupplements";"BulkSupplements";"L-AAKG-500";"849720004451"
"L-AAKG-1KG";"L-AAKG";"L-Arginine a-Ketoglutarate (AAKG) - 1kg Pure Powder";"http://www.bulksupplements.com/l-arginine-a-ketoglutarate-aakg.html";"30.96";"y";"L-Arginine Alpha-Ketoglutarate is a 2:1 salt formed from the combination of two parts Arginine and one part Alpha-Ketoglutarate. ";"new";"BulkSupplements > Products by Category > Amino Acids";"Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements";"http://www.bulksupplements.com/media/catalog/product/b/a/bagresize_222.jpg";"in stock";"439";"no";"2.21 kilograms";"BulkSupplements";"BulkSupplements";"L-AAKG-1KG";"849720004468"
"L-AAKG-5KG";"L-AAKG";"L-Arginine a-Ketoglutarate (AAKG) - 5kg Pure Powder";"http://www.bulksupplements.com/l-arginine-a-ketoglutarate-aakg.html";"130.96";"y";"L-Arginine Alpha-Ketoglutarate is a 2:1 salt formed from the combination of two parts Arginine and one part Alpha-Ketoglutarate. ";"new";"BulkSupplements > Products by Category > Amino Acids";"Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements";"http://www.bulksupplements.com/media/catalog/product/b/a/bagresize_223.jpg";"in stock";"4962";"no";"11.02 kilograms";"BulkSupplements";"BulkSupplements";"L-AAKG-5KG";"849720004475"
