" from ","Van"
"Import From Supply Needs","Importeren"
"Import Tracking Numbers","Importeerd Tracking nummer"
"Import","Importeren"
"Initial delivery date","Oorspronkelijke leverdatum"
"Invoice Ref","Factuur referentie"
"Is default","Is standaard"
"Is Saleable","Is<br>verkoopbaar"
"Last Price HT","Laatste prijs Ex. BTW"
"Last Price","Laatste prijs"
"Lastname","Achternaam"
"Late orders","Vertraagde orders"
"Late severity low","Te laat ernst laag"
"Late severity medium","Te laat ernst middel"
"Late","Te laat"
"List refreshed","Lijst vernieuwd"
"loan","Lening"
"lost/broken","Verloren/Beschadigd"
"Magento Manufacturer","Magento Fabrikant"
"Main Contact","Contactpersoon"
"Manage Deee","Beheer WEEE"
"Manufacturer Reference","Fabrikant Omschrijving"
"Manufacturer","Fabrikant"
"Manufacturers List","Fabrikanten lijst"
"Manufacturers","Fabrikanten"
"Margin %","Marge %"
"Margin","Marge"
"Mass fix errors","Bulk foutherstel"
"Mass Stock Editor","Bulk voorraadmutaties"
"Min. amount","Min. bedrag"
"Misc","Div"
"Miscellaneous","Diversen"
"Missing Prices","Prijs ontbreekt"
"Missing products","Ontbrekende producten"
"Mobile","Mobiel"
"Name","Naam"
"Needed Qty","Benodigde aantal"
"New Contact","Nieuwe contactpersoon"
"New order","Nieuwe order"
"New range added","Nieuwe range toegevoegd"
"New supplier","Nieuwe leverancier"
"New","Nieuw"
"Next Supply Date","Volgende bevoorradingsdatum"
"No order to add","Geen order om toe te voegen"
"No","Nee"
"Notifiy Customers","Informeer klanten"
"Notify Supplier","Informeer leverancier"
"Notify","Informeer"
"Order ","Order "
"Order #","Order #"
"Order Management Delay (Days)","Orderbeheer vertraging (dagen)"
"Order Mini","Minimale voorraad"
"Order Preparation","Bestelling voorbereiden"
"Order successfully added.","Order succesvol toegevoegd"
"Order successfully Created","Order succesvol aangemaakt"
"Order successfully Deleted","Order succesvol verwijderd"
"Order successfully removed.","Order succesvol verwijderd"
"Order successfully Saved","Order succesvol opgeslagen"
"order","order"
"Ordered Qty","Bestelde aantal"
"Orders List","Bestelling lijst"
"Orders successfully added","Orders succesvol toegevoegd"
"Orders successfully removed.","Orders succesvol verwijderd"
"Orders","Orders"
"Out of stock Period","Periode geen voorraad"
"Out of stock range","Geen voorraad range"
"Payment Date","Betalingsdatum"
"Payment delay","Betaaltermijn"
"Payment Type","Betaal methode"
"Payment validated","Betaling gecontroleerd"
"Payment","Betaal methode"
"Payment<br>Validation","Betaalmethode<br>Valideren"
"Payments canceled","Betaling geannuleerd"
"Payments validated","betaling mislukt"
"PDF Comment","PDF Commentaar"
"PDF Footer Text","PDF Voet tekst"
"PDF Header Text","PDF Kop tekst"
"Pending customer<br>orders qty","Wachtende klant<br>orders aantal"
"Permanent discount level","Permanente kortingniveau"
"Phone","Telefoon"
"Picking list","Paklijst"
"Picking List","Paklijst"
"Please fill delivery date field","Geef a.u.b. de ontvangstdatum op"
"Please select at least one product","Selecteer minimaal 1 product"
"Please wait","Een ogenblik geduld"
"Prepare orders","Orders voorbereiden"
"Price HT","Prijs Ex. BTW"
"Price Position","Prijs positie"
"Price","Prijs"
"Pricer","Prijzer"
"Print barcode sheet","Print barcodes"
"Print Documents","Documenten afdrukken"
"Print","Printen"
"Processing order","Bestelling verwerken"
"Product already exists in order","Product bestaat al in de order"
"Product availability ranges","Product beschikbaarheidsranges"
"Product Availability Statutes","Product beschikbaarheidsstatussen"
"Product costs successfully computed","Product succesvol berekend"
"Product default tax rate","Standaard BTW tarief voor product"
"Product packaging","Product verpakkingen"
"Product serial numbers","Product serienummers"
"Product Serials","Product serienummers"
"Product stocks successfully updated","Product voorraad succesvol aangepast"
"Product successfully Saved","Product succesvol opgeslagen"
"Product<br>Supply","Product<br>Leverancier"
"Products delivery date successfully Updated","Afleverdatum van producten succesvol aangepast"
"Products List","Producten lijst"
"Products Serials List","Producten serienummerslijst"
"Products successfully Added","Producten succesvol toegevoegd"
"Products","Producten"
"Purchase Information","Inkoopinformatie"
"Purchase Module","Inkoop Module"
"Purchase nature","Inkoop oorsprong"
"Purchase Order #","Inkooporder #"
"Purchase Order Carriers","Inkooporder transporteurs"
"Purchase Order Payment Method","Inkooporder betaalmethode"
"Purchase orders","Inkooporders"
"Purchase Product Grid","Productinkoop tabel"
"Purchase Product","Productinkoop"
"Purchase","Inkoop"
"Purchasing","Inkopen"
"Qty Needed","# Benodigd"
"Qty","Aantal"
"Range","Gebied"
"Ratio","Tarief"
"Refresh cache","Cache herladen"
"Refresh","Herladen"
"Remain to Ship","Nog te verzenden"
"Remaining supply quantities","Resterende voorraad"
"Remaining","Backorder"
"Remove","Verwijderen"
"Reserved Qty","# Gereserveerd"
"Reserved to developper","Gereserveerd voor ontwikkelaar"
"Reset","Reset"
"rma","RMA"
"Sale Online","Online verkoop"
"Sale Online","Sale Online"
"Sale<br>Price (%s)","Verkoopprijs<br>(%s)"
"Save","Opslaan"
"Select orders","Selecteer orders"
"Selected Orders","Geselecteerde orders"
"Sell Price Excl. tax","Verkoopprijs Ex. BTW"
"Sell Price All taxes included","Verkoopprijs Inc. BTW"
"Sell Price","Verkoopprijs"
"Sent","Verstuurd"
"Separated with coma","Gescheiden door komma's"
"Serial","Serienummer"
"Serials","Serienummers"
"Set supply need as critical if is the only missing product for an order","Zet voorraadbehoefte op kritiek indien het het enige ontbrekende artikel van een order is"
"Ship Mode","Verzend methode"
"Shiping","Verzending"
"Shipment","Verzending"
"Shipping Cost","Transportkosten"
"Shipping costs","Transportkosten"
"Shipping Delay","Transport vertraging"
"Shipping Description","Verzending beschrijving"
"Shipping label/Trackings","Verzendetiketten/Tracking"
"Shipping name","Verzending naam"
"Show / Hide New Task","Toon / Verberg Nieuwe Taak"
"Some products buy price are not set","Enkele producten hebben nog geen inkoopprijs"
"Source warehouse","Magazijn van herkomst"
"Stats","Statistieken"
"Status","Status"
"Stock Errors","Voorraadfouten"
"Stock Insufficient","Voorraad ontoereikend"
"Stock insufficient","Voorraad ontoereikend"
"Stock Management","Voorraadbeheer"
"Stock mini","Min. voorraad"
"Stock Mini","Min. voorraad"
"Stock movement created","Voorraad verplaatsing toegevoegd"
"Stock movement deleted","Voorraad verplaatsing verwijderd"
"Stock Movements List","Voorraad verplaatsingenlijst"
"Stock Movements","Voorraad verplaatsingen"
"Stock Summary","Voorraadsamenvatting"
"Stock transfer","Voorraad verplaatsing"
"Stock","Voorraad"
"Stockless Orders","Niet uit voorraad leverbare orders"
"Store product cost","Productkostprijs bewaren"
"Summary","Samenvatting"
"Supplier List","Leveranciers lijst"
"Supplier Order Ref","Leverancier leveringnr."
"Supplier Ref","Leverancier nr."
"Supplier Reference","Leverancier Omschrijving"
"Supplier Saved","Leverancier opgeslagen"
"Supplier sku","Leveranciers sku"
"Supplier stock","Leveranciersvoorraad"
"Supplier","Leverancier"
"Supplier<br>sku","Leveranciers<br>sku"
"Suppliers liabilities","Inkoopverplichtingen"
"Suppliers","Leveranciers"
"Supply date","Datum<br>bevoorrading"
"Supply Delay Max","Max. bevoorradingsvertraging"
"Supply Delay","Bevoorradingsvertraging"
"Supply for mini qty","Bevoorrading voor minimum aantal"
"Supply for orders","Bevoorrading voor orders"
"Supply Needs - Statistics","Bevoorradingsbehoefte - statistieken"
"Supply Needs","Bevoorradingsbehoefte"
"Supply Order","Voorraadorder"
"Supply Orders","Voorraadorders"
"supply","bevoorrading"
"supply_min_qty","Min. inkoopaantal"
"supply_order","voorraadorder"
"Target warehouse","Magazijn van bestemming"
"Tax rate","BTW tarief"
"Tax Rates","BTW tarieven"
"Tax<br>Rate (%)","BTW<br>tarief (%)"
"This order doesnt belong to selected orders","Deze order behoort niet tot de geselecteerde orders"
"This will automatically create shipments and invoices for selected orders.\nAre you sure ?","Hierdoor zullen er automatisch verzend- en factuurbonnen gemaakt worden.\nWeet je het zeker?"
"Tnt Account","TNT Account"
"To warehouse","Naar magazijn"
"Total (incl tax)","Totaal (incl. BTW)"
"Unable to add Order ","Niet mogelijk order toe te voegen"
"Unable to add order","Niet mogelijk order toe te voegen"
"Unable to add Tracking Number to Shipment #","Het was niet mogelijk om een Tracking nummer toe te voegen bij verzending #"
"Unable to add Tracking Number to Shipment #","Niet mogelijk Tracking nummer toe te voegen #"
"Unit Price + Cost","Prijs/VPE + kosten"
"Unit Price + Costs","Prijs/VPE + kosten"
"Unit Price","Prijs/VPE"
